contentcode,id,verbName,timestamp,result,projectId,userId,contentId,topicId,stepID,hintID,amount,detail,extra,createdAt,updatedAt
CombFrNm01,156416,tryStep,09:26.8,1,4,1321,437,31,0,NULL,NULL,NULL,"{""hints"": 0, ""attempts"": 0, ""response"": [""12""]}",09:26.8,09:26.8
CombFrNm01,156417,tryStep,09:59.9,1,4,1321,437,31,1,NULL,NULL,NULL,"{""hints"": 0, ""attempts"": 0, ""response"": [""\\frac{9}{12}+\\frac{8}{12}-\\frac{10}{12}""]}",10:00.4,10:00.4
CombFrNm01,156419,tryStep,10:28.9,1,4,1321,437,31,2,NULL,NULL,NULL,"{""hints"": 0, ""attempts"": 0, ""response"": [""\\frac{7}{12}""]}",10:29.0,10:29.0
CombFrNm01,156892,tryStep,01:27.9,1,4,21,437,31,0,NULL,NULL,NULL,"{""hints"": 0, ""attempts"": 0, ""response"": [""12""]}",01:29.4,01:29.4
CombFrNm01,156903,tryStep,02:11.6,0,4,21,437,31,1,NULL,NULL,NULL,"{""hints"": 0, ""attempts"": 0, ""response"": [""\\frac{9}{12}-\\frac{8}{12}-\\frac{10}{12}""]}",02:13.0,02:13.0
CombFrNm01,156904,tryStep,02:17.7,1,4,21,437,31,1,NULL,NULL,NULL,"{""hints"": 0, ""attempts"": 1, ""response"": [""\\frac{9}{12}+\\frac{8}{12}-\\frac{10}{12}""]}",02:19.1,02:19.1
CombFrNm01,156910,tryStep,02:25.9,1,4,21,437,31,2,NULL,NULL,NULL,"{""hints"": 0, ""attempts"": 0, ""response"": [""\\frac{7}{12}""]}",02:27.4,02:27.4
CombFrNm01,157473,tryStep,28:28.0,1,4,1272,437,31,0,NULL,NULL,NULL,"{""hints"": 0, ""attempts"": 0, ""response"": [""12""]}",28:28.7,28:28.7
CombFrNm01,157474,tryStep,28:59.2,1,4,1272,437,31,1,NULL,NULL,NULL,"{""hints"": 0, ""attempts"": 0, ""response"": [""\\frac{9}{12}+\\frac{8}{12}-\\frac{10}{12}""]}",28:59.8,28:59.8
CombFrNm01,157476,tryStep,29:06.6,1,4,1272,437,31,2,NULL,NULL,NULL,"{""hints"": 0, ""attempts"": 0, ""response"": [""\\frac{7}{12}""]}",29:07.3,29:07.3
CombFrNm01,161519,tryStep,10:41.0,1,4,1106,437,31,0,NULL,NULL,NULL,"{""hints"": 0, ""attempts"": 0, ""response"": [""12""]}",10:41.1,10:41.1
CombFrNm01,161528,tryStep,11:03.2,1,4,1106,437,31,1,NULL,NULL,NULL,"{""hints"": 0, ""attempts"": 0, ""response"": [""\\frac{9}{12}+\\frac{8}{12}-\\frac{10}{12}""]}",11:03.3,11:03.3
CombFrNm01,161531,tryStep,11:06.7,1,4,1106,437,31,2,NULL,NULL,NULL,"{""hints"": 0, ""attempts"": 0, ""response"": [""\\frac{7}{12}""]}",11:06.9,11:06.9
